Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
10. Jul;Benevento;Venezia;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
10. Jul;Chievo;Trapani;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
10. Jul;Cittadella;Crotone;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
10. Jul;Empoli;Frosinone;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
10. Jul;Juve Stabia;Virtus Entella;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
10. Jul;Livorno;Cremonese;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
10. Jul;Pescara;Perugia;2;2;Draw;+;+;+;4;+;-;-;2;2;L;1
10. Jul;Pordenone;Pisa;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
10. Jul;Spezia;Cosenza;5;1;Home win;+;+;+;6;+;-;-;2;0;L;1
13. Jul;Ascoli;Empoli;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
13. Jul;Cosenza;Perugia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
13. Jul;Cremonese;Chievo;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
13. Jul;Crotone;Pordenone;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
13. Jul;Frosinone;Juve Stabia;2;2;Draw;+;+;+;4;+;-;-;1;1;V;1
13. Jul;Livorno;Spezia;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
13. Jul;Salernitana;Cittadella;4;1;Home win;+;+;+;5;+;-;-;2;1;L;1
13. Jul;Trapani;Benevento;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
13. Jul;Venezia;Pescara;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
13. Jul;Virtus Entella;Pisa;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
17. Jul;Benevento;Livorno;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
17. Jul;Cittadella;Ascoli;1;2;Away win;+;+;-;3;+;-;-;0;0;V;1
17. Jul;Crotone;Salernitana;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
17. Jul;Empoli;Virtus Entella;2;4;Away win;+;+;+;6;+;-;-;2;1;L;1
17. Jul;Juve Stabia;Chievo;3;2;Home win;+;+;+;5;+;-;-;0;1;V;1
17. Jul;Perugia;Cremonese;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
17. Jul;Pescara;Frosinone;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
17. Jul;Pisa;Trapani;3;2;Home win;+;+;+;5;+;-;-;1;0;L;1
17. Jul;Pordenone;Cosenza;1;2;Away win;+;+;-;3;+;-;-;0;2;V;1
17. Jul;Spezia;Venezia;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
24. Jul;Ascoli;Pordenone;2;2;Draw;+;+;+;4;+;-;-;1;2;V;1
24. Jul;Chievo;Cittadella;4;1;Home win;+;+;+;5;+;-;-;2;1;V;1
24. Jul;Cosenza;Pisa;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
24. Jul;Cremonese;Spezia;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
24. Jul;Frosinone;Benevento;2;3;Away win;+;+;+;5;+;-;-;1;3;V;1
24. Jul;Livorno;Crotone;1;5;Away win;+;+;+;6;+;-;-;1;3;L;1
24. Jul;Salernitana;Empoli;2;4;Away win;+;+;+;6;+;-;-;1;3;L;1
24. Jul;Trapani;Pescara;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
24. Jul;Venezia;Juve Stabia;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
24. Jul;Virtus Entella;Perugia;0;2;Away win;+;-;-;2;-;-;+;0;2;V;1
27. Jul;Benevento;Chievo;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
27. Jul;Cittadella;Venezia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
27. Jul;Crotone;Frosinone;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
27. Jul;Empoli;Cosenza;1;5;Away win;+;+;+;6;+;-;-;0;3;V;1
27. Jul;Juve Stabia;Cremonese;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
27. Jul;Perugia;Trapani;1;2;Away win;+;+;-;3;+;-;-;1;1;V;1
27. Jul;Pescara;Livorno;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
27. Jul;Pisa;Ascoli;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
27. Jul;Pordenone;Salernitana;1;1;Draw;+;-;-;2;+;-;-;1;1;L;1
27. Jul;Spezia;Virtus Entella;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
