Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
12. Jun;Meppen;Hallescher FC;2;3;Away win;+;+;+;5;+;-;-;0;1;V;1
13. Jun;1860 Munchen;Hansa Rostock;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
13. Jun;Braunschweig;Sonnenhof;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
13. Jun;Kaiserslautern;Chemnitzer;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
13. Jun;Magdeburg;Viktoria Koln;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
13. Jun;MSV Duisburg;Wurzburger K.;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
13. Jun;Pr. Munster;FC Ingolstadt;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
14. Jun;Carl Zeiss Jena;KFC Uerdingen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
14. Jun;Mannheim;Bayern Munich B;2;3;Away win;+;+;+;5;+;-;-;1;3;L;1
14. Jun;Zwickau;Unterhaching;3;3;Draw;+;+;+;6;+;-;-;2;2;V;1
16. Jun;Chemnitzer;Pr. Munster;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
16. Jun;FC Ingolstadt;Braunschweig;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
16. Jun;Hallescher FC;Magdeburg;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
16. Jun;Viktoria Koln;1860 Munchen;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
16. Jun;Wurzburger K.;Kaiserslautern;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
17. Jun;Bayern Munich B;Meppen;5;1;Home win;+;+;+;6;+;-;-;2;0;L;1
17. Jun;Hansa Rostock;Carl Zeiss Jena;4;0;Home win;+;+;+;4;-;+;-;3;0;L;1
17. Jun;KFC Uerdingen;MSV Duisburg;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
17. Jun;Sonnenhof;Zwickau;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
17. Jun;Unterhaching;Mannheim;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
19. Jun;Wurzburger K.;Chemnitzer;3;0;Home win;+;+;-;3;-;+;-;0;0;L;1
20. Jun;Braunschweig;Pr. Munster;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
20. Jun;Carl Zeiss Jena;Viktoria Koln;2;3;Away win;+;+;+;5;+;-;-;1;1;V;1
20. Jun;Kaiserslautern;KFC Uerdingen;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
20. Jun;Magdeburg;Bayern Munich B;2;2;Draw;+;+;+;4;+;-;-;2;0;L;1
20. Jun;Mannheim;Sonnenhof;3;2;Home win;+;+;+;5;+;-;-;2;0;L;1
20. Jun;MSV Duisburg;Hansa Rostock;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
21. Jun;1860 Munchen;Hallescher FC;2;1;Home win;+;+;-;3;+;-;-;1;1;L;1
21. Jun;Meppen;Unterhaching;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
21. Jun;Zwickau;FC Ingolstadt;0;3;Away win;+;+;-;3;-;-;+;0;2;V;1
23. Jun;Chemnitzer;Braunschweig;1;2;Away win;+;+;-;3;+;-;-;0;2;V;1
23. Jun;Hansa Rostock;Kaiserslautern;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
23. Jun;KFC Uerdingen;Wurzburger K.;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
23. Jun;Viktoria Koln;MSV Duisburg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
24. Jun;Bayern Munich B;1860 Munchen;2;1;Home win;+;+;-;3;+;-;-;1;1;V;1
24. Jun;FC Ingolstadt;Mannheim;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
