Team;AT;HT;Score;Date Range;Home Away;League;Season;Date;Table Name;0. Games;1. GS;1a WDL;1b WDL;1c Goals;1d Goals;2. GA;2a xG;2b xG;3. Pts;3a xG Against;3b xG Against;4. xG;4a Net xG;4b Net xG;5. xGA;5a Points;5b Points;6. Net xG;7. xG Pts;D;GAvsXg+ve;GAvsXg-ve;GD;GSvsXg+ve;GSvsXg-ve;L;Lower xG;Pts vs xG;Pts vs xG +ve;Pts vs xG -ve;RankCalc;Upper xG;W;x. +ve GD;x. -ve GD;x. GD vs NetXg+ve;x. GD vs NetXg-ve;ZN([D]);ZN([L]);ZN([W])
Sheffield United;Everton;Sheffield United;0-1;Wahr;Home;English Premier League;2019/20;20.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.7;1;1;0.7;1;1;0.0;1;;;-0.3;-1;+0.7;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+1.0;;0;1;0
Sheffield United;Liverpool;Sheffield United;0-1;Wahr;Home;English Premier League;2019/20;28.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.3;1;1;2.3;1;1;-1.0;0;;+1.3;;-1;+1.3;;1;-0.36;0;+0;;-0.001;0.42;;;-1;;0.0;0;1;0
Sheffield United;Man City;Sheffield United;0-1;Wahr;Home;English Premier League;2019/20;21.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;2.9;1;1;-2.1;0;;+1.9;;-1;+0.8;;1;-0.36;0;+0;;-0.001;0.42;;;-1;;-1.1;0;1;0
Sheffield United;Southampton;Sheffield United;0-1;Wahr;Home;English Premier League;2019/20;14.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.0;1;1;1.6;1;1;0.4;1;;+0.6;;-1;+2.0;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+1.4;;0;1;0
Southampton;Newcastle;Southampton;0-1;Wahr;Home;English Premier League;2019/20;07.03.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.4;1;1;3.4;1;1;-3.1;0;;+2.4;;-1;+0.4;;1;-0.36;0;+0;;-0.001;0.42;;;-1;;-2.1;0;1;0
Southampton;West Ham;Southampton;0-1;Wahr;Home;English Premier League;2019/20;14.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.9;1;1;1.1;1;1;-0.2;1;;+0.1;;-1;+0.9;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+0.8;;0;1;0
Tottenham;Liverpool;Tottenham;0-1;Wahr;Home;English Premier League;2019/20;11.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.4;1;1;1.9;1;1;-0.5;0;;+0.9;;-1;+1.4;;1;-0.36;0;+0;;-0.001;0.42;;;-1;+0.5;;0;1;0
Tottenham;Newcastle;Tottenham;0-1;Wahr;Home;English Premier League;2019/20;25.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.7;1;1;0.5;1;1;1.2;3;;;-0.5;-1;+1.7;;1;-0.36;3;+3;;-0.001;0.42;;;-1;+2.2;;0;1;0
West Ham;Burnley;West Ham;0-1;Wahr;Home;English Premier League;2019/20;08.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.3;1;1;1.0;1;1;1.3;3;;+0.0;;-1;+2.3;;1;-0.36;3;+3;;-0.001;0.42;;;-1;+2.3;;0;1;0
Brescia;Milan;Brescia;0-1;Wahr;Home;Italy Serie A;2019/20;24.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.3;1;1;2.2;1;1;-1.0;0;;+1.2;;-1;+1.3;;1;-0.31;0;+0;;-0.001;0.42;;;-1;+0.0;;0;1;0
Cagliari;Atalanta;Cagliari;0-1;Wahr;Home;Italy Serie A;2019/20;05.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.4;1;1;3.3;1;1;-2.9;0;;+2.3;;-1;+0.4;;1;-0.31;0;+0;;-0.001;0.42;;;-1;;-1.9;0;1;0
Cagliari;Brescia;Cagliari;0-1;Wahr;Home;Italy Serie A;2019/20;25.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.1;1;1;1.5;1;1;-0.3;0;;+0.5;;-1;+1.1;;1;-0.31;0;+0;;-0.001;0.42;;;-1;+0.7;;0;1;0
Cagliari;Napoli;Cagliari;0-1;Wahr;Home;Italy Serie A;2019/20;16.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.3;1;1;1.1;1;1;-0.8;0;;+0.1;;-1;+0.3;;1;-0.31;0;+0;;-0.001;0.42;;;-1;+0.2;;0;1;0
Cagliari;Udinese;Cagliari;0-1;Wahr;Home;Italy Serie A;2019/20;26.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.5;1;1;1.1;1;1;0.3;1;;+0.1;;-1;+1.5;;1;-0.31;1;+1;;-0.001;0.42;;;-1;+1.3;;0;1;0
Fiorentina;Lecce;Fiorentina;0-1;Wahr;Home;Italy Serie A;2019/20;30.11.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.7;1;1;0.9;1;1;0.7;3;;;-0.1;-1;+1.7;;1;-0.31;3;+3;;-0.001;0.42;;;-1;+1.7;;0;1;0
Genoa;Sampdoria;Genoa;0-1;Wahr;Home;Italy Serie A;2019/20;14.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.7;1;1;0.2;1;1;0.5;3;;;-0.8;-1;+0.7;;1;-0.31;3;+3;;-0.001;0.42;;;-1;+1.5;;0;1;0
Genoa;Torino;Genoa;0-1;Wahr;Home;Italy Serie A;2019/20;30.11.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.0;1;1;0.9;1;1;0.1;1;;;-0.1;-1;+1.0;;1;-0.31;1;+1;;-0.001;0.42;;;-1;+1.1;;0;1;0
Lecce;Roma;Lecce;0-1;Wahr;Home;Italy Serie A;2019/20;29.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;3.0;1;1;-2.2;0;;+2.0;;-1;+0.8;;1;-0.31;0;+0;;-0.001;0.42;;;-1;;-1.2;0;1;0
Lecce;Udinese;Lecce;0-1;Wahr;Home;Italy Serie A;2019/20;06.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.0;1;1;0.8;1;1;0.1;1;;;-0.2;-1;+1.0;;1;-0.31;1;+1;;-0.001;0.42;;;-1;+1.1;;0;1;0
Lecce;Verona;Lecce;0-1;Wahr;Home;Italy Serie A;2019/20;01.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.3;1;1;2.1;1;1;-0.8;0;;+1.1;;-1;+1.3;;1;-0.31;0;+0;;-0.001;0.42;;;-1;+0.2;;0;1;0
Napoli;Cagliari;Napoli;0-1;Wahr;Home;Italy Serie A;2019/20;25.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.2;1;1;0.5;1;1;1.7;3;;;-0.5;-1;+2.2;;1;-0.31;3;+3;;-0.001;0.42;;;-1;+2.7;;0;1;0
Parma;Juventus;Parma;0-1;Wahr;Home;Italy Serie A;2019/20;24.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.3;1;1;2.0;1;1;-1.7;0;;+1.0;;-1;+0.3;;1;-0.31;0;+0;;-0.001;0.42;;;-1;;-0.7;0;1;0
Parma;Lazio;Parma;0-1;Wahr;Home;Italy Serie A;2019/20;09.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;1.8;1;1;-1.0;0;;+0.8;;-1;+0.8;;1;-0.31;0;+0;;-0.001;0.42;;;-1;;0.0;0;1;0
Parma;Milan;Parma;0-1;Wahr;Home;Italy Serie A;2019/20;01.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.2;1;1;2.2;1;1;-2.0;0;;+1.2;;-1;+0.2;;1;-0.31;0;+0;;-0.001;0.42;;;-1;;-1.0;0;1;0
Parma;Spal;Parma;0-1;Wahr;Home;Italy Serie A;2019/20;08.03.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.5;1;1;1.1;1;1;0.4;1;;+0.1;;-1;+1.5;;1;-0.31;1;+1;;-0.001;0.42;;;-1;+1.4;;0;1;0
