Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
03. Nov;Kayserispor;Fenerbahce;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
04. Nov;Ankaragucu;Gaziantep FK;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
08. Nov;Fenerbahce;Kasimpasa;3;2;Home win;+;+;+;5;+;-;-;2;1;L;0
09. Nov;Gaziantep FK;Galatasaray;0;2;Away win;+;-;-;2;-;-;+;0;2;V;0
09. Nov;Genclerbirligi;Kayserispor;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
09. Nov;Rizespor;Antalyaspor;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
09. Nov;Sivasspor;Konyaspor;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
10. Nov;Basaksehir;Ankaragucu;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
10. Nov;Besiktas;Denizlispor;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
10. Nov;Goztepe;Yeni Malatyaspo;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
10. Nov;Trabzonspor;Alanyaspor;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
22. Nov;Galatasaray;Basaksehir;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
23. Nov;Ankaragucu;Trabzonspor;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
23. Nov;Denizlispor;Rizespor;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
23. Nov;Konyaspor;Besiktas;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
24. Nov;Alanyaspor;Goztepe;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
24. Nov;Kasimpasa;Genclerbirligi;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
24. Nov;Kayserispor;Sivasspor;1;4;Away win;+;+;+;5;+;-;-;1;1;V;0
24. Nov;Yeni Malatyaspo;Fenerbahce;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
25. Nov;Antalyaspor;Gaziantep FK;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
29. Nov;Genclerbirligi;Yeni Malatyaspo;3;3;Draw;+;+;+;6;+;-;-;0;1;V;0
30. Nov;Alanyaspor;Ankaragucu;5;0;Home win;+;+;+;5;-;+;-;2;0;L;0
30. Nov;Goztepe;Fenerbahce;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
30. Nov;Rizespor;Konyaspor;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
30. Nov;Sivasspor;Kasimpasa;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
1 Dec;Basaksehir;Antalyaspor;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
1 Dec;Gaziantep FK;Denizlispor;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
1 Dec;Trabzonspor;Galatasaray;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
2 Dec;Besiktas;Kayserispor;4;1;Home win;+;+;+;5;+;-;-;3;0;L;0
6 Dec;Fenerbahce;Genclerbirligi;5;2;Home win;+;+;+;7;+;-;-;3;1;V;0
7 Dec;Ankaragucu;Goztepe;1;3;Away win;+;+;+;4;+;-;-;1;1;V;0
7 Dec;Galatasaray;Alanyaspor;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
7 Dec;Yeni Malatyaspo;Sivasspor;1;3;Away win;+;+;+;4;+;-;-;1;2;V;0
8 Dec;Antalyaspor;Trabzonspor;1;3;Away win;+;+;+;4;+;-;-;1;3;V;0
8 Dec;Denizlispor;Basaksehir;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
8 Dec;Kasimpasa;Besiktas;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
8 Dec;Konyaspor;Gaziantep FK;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
9 Dec;Kayserispor;Rizespor;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
13 Dec;Alanyaspor;Antalyaspor;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
14 Dec;Galatasaray;Ankaragucu;2;2;Draw;+;+;+;4;+;-;-;0;0;L;0
14 Dec;Genclerbirligi;Goztepe;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
14 Dec;Rizespor;Kasimpasa;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
