Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;sample
07. Jun;PAOK Saloniki;Olympiakos;0;1;Away win;-;-;-;1;-;-;+;1
08. Jun;Lamia;Panaitolikos;2;0;Home win;+;-;-;2;-;+;-;1
13. Jun;Atromitos;Lamia;1;1;Draw;+;-;-;2;+;-;-;1
13. Jun;Panathinaikos;PAOK Saloniki;0;0;Draw;-;-;-;0;-;+;+;1
13. Jun;Volos NFC;Xanthi;1;0;Home win;-;-;-;1;-;+;-;1
14. Jun;OFI Crete;AEK Athens;0;2;Away win;+;-;-;2;-;-;+;1
14. Jun;Olympiakos;Aris Thessalon.;3;1;Home win;+;+;+;4;+;-;-;1
15. Jun;Ast. Tripolis;Panionios;0;0;Draw;-;-;-;0;-;+;+;1
15. Jun;Panaitolikos;AEL Larissa;3;0;Home win;+;+;-;3;-;+;-;1
20. Jun;AEK Athens;Aris Thessalon.;2;2;Draw;+;+;+;4;+;-;-;1
20. Jun;PAOK Saloniki;OFI Crete;3;1;Home win;+;+;+;4;+;-;-;1
21. Jun;Ast. Tripolis;Atromitos;1;1;Draw;+;-;-;2;+;-;-;1
21. Jun;Olympiakos;Panathinaikos;3;0;Home win;+;+;-;3;-;+;-;1
21. Jun;Xanthi;Panaitolikos;1;1;Draw;+;-;-;2;+;-;-;1
22. Jun;AEL Larissa;Volos NFC;3;1;Home win;+;+;+;4;+;-;-;1
22. Jun;Lamia;Panionios;0;1;Away win;-;-;-;1;-;-;+;1
24. Jun;Xanthi;Atromitos;1;0;Home win;-;-;-;1;-;+;-;1
27. Jun;OFI Crete;Panathinaikos;0;0;Draw;-;-;-;0;-;+;+;1
27. Jun;Panionios;Xanthi;2;1;Home win;+;+;-;3;+;-;-;1
28. Jun;AEK Athens;Olympiakos;1;2;Away win;+;+;-;3;+;-;-;1
28. Jun;Aris Thessalon.;PAOK Saloniki;0;2;Away win;+;-;-;2;-;-;+;1
28. Jun;Panaitolikos;Ast. Tripolis;1;1;Draw;+;-;-;2;+;-;-;1
29. Jun;Atromitos;AEL Larissa;3;0;Home win;+;+;-;3;-;+;-;1
29. Jun;Volos NFC;Lamia;0;0;Draw;-;-;-;0;-;+;+;1
01. Jul;Olympiakos;OFI Crete;2;1;Home win;+;+;-;3;+;-;-;1
01. Jul;Panathinaikos;Aris Thessalon.;2;0;Home win;+;-;-;2;-;+;-;1
01. Jul;PAOK Saloniki;AEK Athens;0;2;Away win;+;-;-;2;-;-;+;1
04. Jul;Ast. Tripolis;Volos NFC;4;0;Home win;+;+;+;4;-;+;-;1
04. Jul;OFI Crete;PAOK Saloniki;2;2;Draw;+;+;+;4;+;-;-;1
05. Jul;Aris Thessalon.;AEK Athens;1;4;Away win;+;+;+;5;+;-;-;1
05. Jul;Panathinaikos;Olympiakos;0;0;Draw;-;-;-;0;-;+;+;1
06. Jul;AEL Larissa;Panionios;0;0;Draw;-;-;-;0;-;+;+;1
06. Jul;Atromitos;Panaitolikos;2;2;Draw;+;+;+;4;+;-;-;1
06. Jul;Lamia;Xanthi;0;0;Draw;-;-;-;0;-;+;+;1
08. Jul;AEK Athens;OFI Crete;2;0;Home win;+;-;-;2;-;+;-;1
08. Jul;Aris Thessalon.;Olympiakos;2;4;Away win;+;+;+;6;+;-;-;1
08. Jul;PAOK Saloniki;Panathinaikos;0;0;Draw;-;-;-;0;-;+;+;1
11. Jul;Lamia;AEL Larissa;0;0;Draw;-;-;-;0;-;+;+;1
11. Jul;OFI Crete;Aris Thessalon.;0;1;Away win;-;-;-;1;-;-;+;1
11. Jul;Panionios;Panaitolikos;0;2;Away win;+;-;-;2;-;-;+;1
11. Jul;Volos NFC;Atromitos;2;3;Away win;+;+;+;5;+;-;-;1
