Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
1 Mar;Korona Kielce;Lechia Gdansk;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
1 Mar;Zaglebie Lubin;Slask Wroclaw;3;1;Home win;+;+;+;4;+;-;-;0;0;L;0
3 Mar;KS Cracovia;Wisla Krakow;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
3 Mar;Lech Poznan;Gornik Zabrze;4;1;Home win;+;+;+;5;+;-;-;1;1;L;0
3 Mar;Pogon Szczecin;Jagiellonia;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
3 Mar;Wisla Plock;Rakow Czest.;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
4 Mar;Lechia Gdansk;Legia Warsaw;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
4 Mar;LKS Lodz;Zaglebie Lubin;3;2;Home win;+;+;+;5;+;-;-;2;1;L;0
4 Mar;Piast Gliwice;Arka Gdynia;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
4 Mar;Slask Wroclaw;Korona Kielce;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
6 Mar;Gornik Zabrze;KS Cracovia;3;2;Home win;+;+;+;5;+;-;-;1;1;V;0
7 Mar;Arka Gdynia;Wisla Plock;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
7 Mar;Jagiellonia;Slask Wroclaw;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
7 Mar;Zaglebie Lubin;Lechia Gdansk;4;4;Draw;+;+;+;8;+;-;-;2;3;V;0
8 Mar;Legia Warsaw;Piast Gliwice;1;2;Away win;+;+;-;3;+;-;-;1;1;L;0
8 Mar;Rakow Czest.;Pogon Szczecin;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
8 Mar;Wisla Krakow;Lech Poznan;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
9 Mar;Korona Kielce;LKS Lodz;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
29 May;Pogon Szczecin;Zaglebie Lubin;0;3;Away win;+;+;-;3;-;-;+;0;3;V;1
29 May;Slask Wroclaw;Rakow Czest.;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
30 May;Lech Poznan;Legia Warsaw;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
30 May;LKS Lodz;Gornik Zabrze;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
30 May;Piast Gliwice;Wisla Krakow;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
31 May;KS Cracovia;Jagiellonia;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
31 May;Lechia Gdansk;Arka Gdynia;4;3;Home win;+;+;+;7;+;-;-;0;0;L;1
31 May;Wisla Plock;Korona Kielce;1;4;Away win;+;+;+;5;+;-;-;1;2;L;1
05. Jun;Gornik Zabrze;Lechia Gdansk;2;2;Draw;+;+;+;4;+;-;-;1;0;L;1
05. Jun;Korona Kielce;Piast Gliwice;1;2;Away win;+;+;-;3;+;-;-;1;0;L;1
06. Jun;Jagiellonia;Wisla Plock;2;2;Draw;+;+;+;4;+;-;-;0;1;V;1
06. Jun;Pogon Szczecin;KS Cracovia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
06. Jun;Zaglebie Lubin;Lech Poznan;3;3;Draw;+;+;+;6;+;-;-;3;1;L;1
07. Jun;Arka Gdynia;Slask Wroclaw;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
07. Jun;Rakow Czest.;LKS Lodz;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
07. Jun;Wisla Krakow;Legia Warsaw;1;3;Away win;+;+;+;4;+;-;-;1;0;L;1
09. Jun;Lech Poznan;Pogon Szczecin;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
09. Jun;Lechia Gdansk;KS Cracovia;1;3;Away win;+;+;+;4;+;-;-;0;1;V;1
09. Jun;Piast Gliwice;Gornik Zabrze;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
09. Jun;Zaglebie Lubin;Korona Kielce;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
10. Jun;Legia Warsaw;Arka Gdynia;5;1;Home win;+;+;+;6;+;-;-;1;1;V;1
10. Jun;LKS Lodz;Jagiellonia;0;3;Away win;+;+;-;3;-;-;+;0;2;V;1
10. Jun;Wisla Krakow;Rakow Czest.;3;2;Home win;+;+;+;5;+;-;-;1;0;L;1
